PMY,Replicate,Halo
PMY2731,1,5.723000000000001
PMY2731,2,7.954
PMY2731,3,6.176
PMY2732,1,2.152
PMY2732,2,2.69
PMY2732,3,4.309
PMY2733,1,0.9420000000000002
PMY2733,2,0.537
PMY2733,3,
PMY2734,1,2.79
PMY2734,2,2.2779999999999996
PMY2734,3,2.587
PMY2735,1,3.0610000000000004
PMY2735,2,2.017
PMY2735,3,4.621
PMY2736,1,7.936999999999999
PMY2736,2,6.241
PMY2736,3,7.739999999999998
PMY2737,1,3.354
PMY2737,2,7.519
PMY2737,3,2.475
PMY2738,1,4.531000000000001
PMY2738,2,4.028
PMY2738,3,3.1740000000000004
PMY2739,1,1.0949999999999998
PMY2739,2,0.6239999999999999
PMY2739,3,0.9539999999999997
PMY2740,1,0.8150000000000001
PMY2740,2,0.8460000000000002
PMY2740,3,0.8300000000000001
PMY2741,1,1.1750000000000003
PMY2741,2,2.345
PMY2741,3,2.0229999999999997
PMY2742,1,1.0419999999999998
PMY2742,2,1.4349999999999998
PMY2742,3,1.4120000000000001
PMY2743,1,5.9959999999999996
PMY2743,2,7.544
PMY2743,3,3.2
PMY2744,1,3.933
PMY2744,2,2.272
PMY2744,3,3.696
PMY2745,1,3.1700000000000004
PMY2745,2,3.8369999999999997
PMY2745,3,3.536
PMY2746,1,6.5280000000000005
PMY2746,2,3.6060000000000008
PMY2746,3,5.696000000000001
PMY2747,1,3.308
PMY2747,2,3.1740000000000004
PMY2747,3,5.018
PMY2748,1,1.137
PMY2748,2,0.963
PMY2748,3,1.194
PMY2749,1,2.0780000000000003
PMY2749,2,3.393
PMY2749,3,2.388
PMY2750,1,1.711
PMY2750,2,1.466
PMY2750,3,1.8600000000000003
PMY2751,1,2.2489999999999997
PMY2751,2,1.8719999999999999
PMY2751,3,2.436
PMY2752,1,1.9480000000000004
PMY2752,2,0.8649999999999999
PMY2752,3,1.868
PMY2753,1,6.6770000000000005
PMY2753,2,3.9090000000000007
PMY2753,3,5.472
PMY2754,1,3.152
PMY2754,2,1.4860000000000002
PMY2754,3,4.296
PMY2755,1,5.0520000000000005
PMY2755,2,8.159
PMY2755,3,4.367
PMY2756,1,6.547
PMY2756,2,4.554
PMY2756,3,8.217
PMY2757,1,0.8610000000000002
PMY2757,2,1.67
PMY2757,3,0.6770000000000002
PMY2758,1,2.995
PMY2758,2,1.8319999999999999
PMY2758,3,3.653
PMY2759,1,0.2280000000000001
PMY2759,2,0.744
PMY2759,3,0.372
PMY2760,1,0.963
PMY2760,2,1.425
PMY2760,3,0.9989999999999999
PMY2761,1,2.7249999999999996
PMY2761,2,7.067
PMY2761,3,3.166
PMY2762,1,2.6890000000000005
PMY2762,2,7.511
PMY2762,3,2.367
PMY2763,1,5.166
PMY2763,2,2.0380000000000003
PMY2763,3,5.837
PMY2764,1,4.386
PMY2764,2,8.098
PMY2764,3,3.9349999999999996
PMY2765,1,0.5930000000000001
PMY2765,2,0.47
PMY2765,3,0.473
PMY2766,1,3.143
PMY2766,2,1.115
PMY2766,3,3.042
PMY2767,1,1.7590000000000003
PMY2767,2,4.119
PMY2767,3,1.8539999999999996
PMY2768,1,0.431
PMY2768,2,0.276
PMY2768,3,0.37599999999999995
PMY2769,1,7.741
PMY2769,2,2.974
PMY2769,3,7.796999999999999
PMY2770,1,7.303
PMY2770,2,3.724
PMY2770,3,8.186000000000002
PMY2771,2,0.307
PMY2771,3,0.4059999999999999
PMY2772,1,1.2500000000000002
PMY2772,2,4.78
PMY2772,3,1.9849999999999999
PMY2773,1,0.344
PMY2773,2,0.7219999999999999
PMY2773,3,0.3869999999999999
PMY2774,1,1.5390000000000001
PMY2774,2,5.313
PMY2774,3,2.1439999999999997
PMY2775,1,0.754
PMY2775,2,0.5660000000000001
PMY2775,3,0.7549999999999999
PMY2776,1,0.873
PMY2776,2,1.991
PMY2776,3,1.0279999999999998
PMY2777,1,7.558000000000001
PMY2777,2,4.42
PMY2777,3,8.119
PMY2778,1,0.653
PMY2778,2,0.687
PMY2778,3,0.6759999999999999
PMY2779,1,4.045
PMY2779,2,1.8980000000000001
PMY2779,3,4.822
PMY2780,1,6.867999999999999
PMY2780,2,1.881
PMY2780,3,6.487
PMY2781,1,0.5449999999999999
PMY2781,2,0.7310000000000001
PMY2781,3,0.7480000000000002
PMY2782,1,4.96
PMY2782,2,1.7799999999999998
PMY2782,3,5.720000000000001
PMY2783,1,5.260000000000001
PMY2783,2,8.189
PMY2783,3,5.433000000000001
PMY2784,1,3.979
PMY2784,2,8.243
PMY2784,3,3.7890000000000006
PMY2785,1,7.856
PMY2785,2,2.714
PMY2785,3,7.484
PMY2786,1,6.527
PMY2786,2,3.895
PMY2786,3,7.622999999999999
PMY2787,1,4.859
PMY2787,2,2.2
PMY2787,3,5.001
PMY2788,1,0.32500000000000007
PMY2788,2,0.532
PMY2788,3,0.5209999999999999
PMY2789,1,3.322
PMY2789,2,0.948
PMY2789,3,1.585
PMY2790,1,8.158000000000001
PMY2790,2,2.897
PMY2790,3,7.957999999999999
PMY2791,1,1.948
PMY2791,2,0.855
PMY2791,3,1.38
PMY2792,1,0.561
PMY2792,2,0.4799999999999999
PMY2792,3,0.42300000000000004
PMY2793,1,8.064
PMY2793,2,3.6540000000000004
PMY2793,3,8.029000000000002
PMY2794,1,3.263
PMY2794,2,5.411
PMY2794,3,2.668
PMY2795,1,0.994
PMY2795,2,0.627
PMY2795,3,0.9990000000000001
PMY2796,1,1.168
PMY2796,2,4.8999999999999995
PMY2796,3,3.0260000000000002
PMY2797,1,1.657
PMY2797,2,0.8150000000000002
PMY2797,3,1.8089999999999997
PMY2798,1,5.696000000000001
PMY2798,2,1.685
PMY2798,3,4.236
PMY2799,1,0.9489999999999998
PMY2799,2,3.434
PMY2799,3,1.6559999999999997
PMY2800,1,0.5690000000000001
PMY2800,2,1.956
PMY2800,3,0.6699999999999999
PMY2801,1,0.7539999999999999
PMY2801,2,0.8380000000000001
PMY2801,3,2.4400000000000004
PMY2802,1,0.8630000000000001
PMY2802,2,1.2060000000000002
PMY2802,3,0.8570000000000001
PMY2803,1,2.3970000000000002
PMY2803,2,6.558000000000001
PMY2803,3,3.421
PMY2804,1,1.5899999999999999
PMY2804,2,1.019
PMY2804,3,1.337
PMY2805,1,0.5210000000000001
PMY2805,2,0.6450000000000001
PMY2805,3,0.6000000000000001
PMY2806,1,7.551
PMY2806,2,5.034000000000001
PMY2806,3,7.6339999999999995
PMY2807,1,1.6870000000000003
PMY2807,2,7.125
PMY2807,3,2.661
PMY2808,1,6.055
PMY2808,2,1.329
PMY2808,3,2.859
PMY2809,1,7.681000000000001
PMY2809,2,4.27
PMY2809,3,7.456
PMY2810,1,1.1389999999999998
PMY2810,2,0.6719999999999999
PMY2810,3,0.667
PMY2811,1,4.281
PMY2811,2,7.284
PMY2811,3,4.386
PMY2812,1,0.31999999999999995
PMY2812,2,0.776
PMY2812,3,0.41400000000000003
PMY2813,1,0.428
PMY2813,2,0.5790000000000001
PMY2813,3,0.49699999999999994
PMY2814,1,7.045999999999999
PMY2814,2,1.1540000000000001
PMY2814,3,7.956000000000001
PMY2815,1,0.738
PMY2815,2,1.0150000000000001
PMY2815,3,1.055
PMY2816,1,3.237
PMY2816,2,6.926
