Strain,Day,Replicate,Stack,plate,passage,Area,Mean,Min,Max,issues
B606,12,1,2,p1_1,11,3.143,20399.699,17556,29679,
B901_cor,12,1,2,p1_1,11,6.54,19863.762,16253,38064,
B373,12,1,2,p1_1,11,1.778,21058.989,15284,34690,
B399,12,1,2,p1_1,11,2.075,20957.658,18308,25947,
B869_cor,12,1,2,p1_1,11,3.626,20135.318,17194,28674,
B579,12,1,2,p1_1,11,1.27,20496.21,17633,29521,
B898_cor,12,1,2,p1_1,11,4.153,19558.946,17331,33065,
B605,12,1,3,p1_1,11,4.36,37227.564,32334,52774,
B574,12,1,3,p1_1,11,1.75,36340.365,20084,52673,
B896_cor,12,1,3,p1_1,11,2.634,35510.785,31610,51750,
B908_cor,12,1,3,p1_1,11,3.146,34824.276,19587,60351,
B407,12,1,3,p1_1,11,0.958,37367.47,32937,46476,
B890_cor,12,1,3,p1_1,11,1.422,37511.81,31969,51012,
B587,12,1,3,p1_1,11,1.681,38075.055,32531,62139,contaminated
B369,12,1,3,p1_1,11,8.469,35829.684,11311,59679,
B387,12,1,3,p1_1,11,2.697,35920.926,31310,50850,
B956,12,1,3,p1_1,11,3.113,36688.439,31006,54236,
B364,12,1,3,p1_1,11,4.898,35652.321,19315,62044,
B378,12,1,3,p1_1,11,2.966,37025.503,32068,49497,
B621,12,1,4,p1_1,11,1.661,37705.588,6809,53316,cracked
B876,12,1,4,p1_1,11,1.355,37535.003,13738,49737,
B926,12,1,4,p1_1,11,2.422,36935.323,32003,52915,
B368,12,1,4,p1_1,11,1.106,37159.569,25782,64534,
B960_cor,12,1,4,p1_1,11,0.924,38304.586,29700,47914,
B932,12,1,4,p1_1,11,2.264,37920.523,27694,53906,
B353,12,1,4,p1_1,11,0.819,37198.498,32313,48318,
B588,12,1,4,p1_1,11,1.462,37522.627,28949,52783,
B360,12,1,4,p1_1,11,1.98,35531.236,31085,50209,
B927,12,1,4,p1_1,11,3.444,35500.653,31816,52609,
B565,12,1,4,p1_1,11,2.542,34689.774,30561,49991,
B376,12,1,4,p1_1,11,7.894,35045.844,22626,65534,
B563,12,1,5,p1_1,11,2.192,37854.725,32609,53276,
C001,12,1,5,p1_1,11,2.018,36229.232,21087,54141,
C026_cor,12,1,5,p1_1,11,3.252,35888.336,31346,50209,
C366,12,1,5,p1_1,11,3.974,36187.167,19632,61477,
B374,12,1,5,p1_1,11,1.324,37593.256,28762,46556,
B379,12,1,5,p1_1,11,3.632,36224.96,31962,54868,
B998,12,1,5,p1_1,11,2.309,36309.226,31771,51318,
B906_cor,12,1,5,p1_1,11,1.47,36698.979,31171,59017,contaminated
B584,12,1,5,p1_1,11,3.488,34362.531,30305,51212,
B873_cor,12,1,5,p1_1,11,2.149,35775.087,31569,50402,
B600,12,1,5,p1_1,11,7.444,35658.488,17577,56435,
B569,12,1,5,p1_1,11,6.631,36943.747,19703,65534,
B589,12,1,6,p1_1,11,3.638,36099.255,32299,65533,
B585,12,1,6,p1_1,11,2.399,37686.591,32384,54235,
B880,12,1,6,p1_1,11,3.197,35981.73,26641,64364,
B599,1,2,1,2_2-1_2_firsthalf,4,0.584,40294.159,34461,46710,
B382,1,2,1,2_2-1_2_firsthalf,4,0.712,39330.055,33549,47175,
B901,1,2,1,2_2-1_2_firsthalf,4,0.122,39249.062,35624,46284,
B308,1,2,1,2_2-1_2_firsthalf,4,0.059,38503.193,34184,45535,
C290,1,2,1,2_2-1_2_firsthalf,4,0.187,38575.376,35530,46101,
XL280a,1,2,1,2_2-1_2_firsthalf,4,0.148,37042.6,31936,42984,
B570,1,2,1,2_2-1_2_firsthalf,4,0.587,38218.121,32888,46420,
B906,1,2,1,2_2-1_2_firsthalf,4,0.112,39003.381,35006,62419,
B350,1,2,1,2_2-1_2_firsthalf,4,0.727,37673.001,32924,65533,
C090,1,2,1,2_2-1_2_firsthalf,4,0.114,39546.371,34759,48950,
B560,1,2,1,2_2-1_2_firsthalf,4,0.821,39073.906,33178,46442,
B410,1,2,1,2_2-1_2_firsthalf,4,0.116,40068.327,34672,52443,
B890,1,2,2,2_2-1_2_firsthalf,4,0.164,37432.114,32310,54557,
431alpha,1,2,2,2_2-1_2_firsthalf,4,0.224,38786.133,35137,45463,
B316,1,2,2,2_2-1_2_firsthalf,4,0.104,36991.258,31540,49693,
B892_cor,1,2,2,2_2-1_2_firsthalf,4,0.218,40064.631,36417,48215,
B873,1,2,2,2_2-1_2_firsthalf,4,0.282,36569.628,29340,48049,
B818,1,2,2,2_2-1_2_firsthalf,4,0.098,36683.638,33500,51053,
B563,1,2,2,2_2-1_2_firsthalf,4,1.026,38456.518,31744,51176,
B896_cor,1,2,2,2_2-1_2_firsthalf,4,0.178,39789.006,34374,57104,
B373,1,2,2,2_2-1_2_firsthalf,4,0.713,40971.329,35669,65534,
B611,1,2,2,2_2-1_2_firsthalf,4,0.214,40333.012,36756,43188,
B961_cor,1,2,2,2_2-1_2_firsthalf,4,0.467,39939.006,35156,53610,
B580,1,2,2,2_2-1_2_firsthalf,4,0.179,39189.204,35531,51866,
B872,1,2,3,2_2-1_2_firsthalf,4,0.112,37201.917,32375,48794,
C242,1,2,3,2_2-1_2_firsthalf,4,0.619,38467.952,33306,45039,
B869,1,2,3,2_2-1_2_firsthalf,4,0.167,40084.371,34617,64736,
B310,1,2,3,2_2-1_2_firsthalf,4,0.156,36317.979,32164,49614,
B874,1,2,3,2_2-1_2_firsthalf,4,0.115,39662.006,35783,46757,
B313,1,2,3,2_2-1_2_firsthalf,4,0.606,37596.56,30172,46724,
B579,1,2,3,2_2-1_2_firsthalf,4,0.034,39101.113,36085,46566,
B575,1,2,3,2_2-1_2_firsthalf,4,0.776,38963.929,33165,52843,
B588,1,2,3,2_2-1_2_firsthalf,4,0.233,38842.197,35202,45156,
B896,1,2,3,2_2-1_2_firsthalf,4,0.903,39404.855,33454,46776,
B379,1,2,3,2_2-1_2_firsthalf,4,0.138,38166.922,34853,49700,
B880,1,2,3,2_2-1_2_firsthalf,4,0.177,39174.028,32029,53887,
B396,1,2,4,2_2-1_2_firsthalf,4,0.317,40365.291,35727,49845,
B905,1,2,4,2_2-1_2_firsthalf,4,0.084,39222.541,33994,51482,
B399,1,2,4,2_2-1_2_firsthalf,4,0.242,39816.416,33704,43094,
B996,1,2,4,2_2-1_2_firsthalf,4,0.613,39429.545,33983,43853,
B377,1,2,4,2_2-1_2_firsthalf,4,0.299,40243.465,35601,44418,
B587,1,2,4,2_2-1_2_firsthalf,4,0.775,38041.074,32489,44873,
B591,1,2,4,2_2-1_2_firsthalf,4,0.601,39908.205,29397,60025,contaminated
B584,1,2,4,2_2-1_2_firsthalf,4,0.277,38895.017,33616,52796,
B378,1,2,4,2_2-1_2_firsthalf,4,0.975,40049.494,33569,65534,
B997,1,2,4,2_2-1_2_firsthalf,4,0.174,37291.165,33831,55484,
B586,1,2,4,2_2-1_2_firsthalf,4,0.143,38091.151,34669,48512,
B407,1,2,4,2_2-1_2_firsthalf,4,0.617,38306.059,33453,48264,
B901_cor,1,2,5,2_2-1_2_firsthalf,4,0.155,40144.105,36312,50287,
B908_cor,1,2,5,2_2-1_2_firsthalf,4,0.843,39456.347,33744,52706,
B926,1,2,5,2_2-1_2_firsthalf,4,0.442,39641.315,33101,45314,
B832,1,2,5,2_2-1_2_firsthalf,4,0.455,41106.352,35634,51302,?
B374,1,2,5,2_2-1_2_firsthalf,4,1.009,39175.96,34235,48132,
B998,1,2,5,2_2-1_2_firsthalf,4,0.8,39700.883,34764,45264,
B876,1,2,5,2_2-1_2_firsthalf,4,0.846,38008.032,32255,58165,
B383,1,2,5,2_2-1_2_firsthalf,4,0.403,37048.986,31531,45326,
B961,1,2,5,2_2-1_2_firsthalf,4,0.258,40137.446,33616,48935,
B886,1,2,5,2_2-1_2_firsthalf,4,0.063,40423.554,35995,46737,
B595,1,2,5,2_2-1_2_firsthalf,4,0.275,39978.504,35910,46864,
B354,1,2,5,2_2-1_2_firsthalf,4,0.65,38028.934,32633,49194,
Kn99,1,2,6,2_2-1_2_firsthalf,4,0.364,40164.999,33661,47589,
B599,12,2,1,2_2-1_2_firsthalf,4,4.027,38647.528,30470,65532,
B382,12,2,1,2_2-1_2_firsthalf,4,1.262,37723.389,33564,51428,
B901,12,2,1,2_2-1_2_firsthalf,4,2.895,36886.188,33236,50911,
B308,12,2,1,2_2-1_2_firsthalf,4,1.494,37947.13,32805,48070,
C290,12,2,1,2_2-1_2_firsthalf,4,2.059,38497.195,32323,64236,
XL280a,12,2,1,2_2-1_2_firsthalf,4,0.675,37998.063,32469,46399,
B570,12,2,1,2_2-1_2_firsthalf,4,0.64,37737.775,33166,48826,
B906,12,2,1,2_2-1_2_firsthalf,4,2.421,36832.796,32431,51677,
B350,12,2,1,2_2-1_2_firsthalf,4,1.684,37890.449,32957,49812,
C090,12,2,1,2_2-1_2_firsthalf,4,2.384,38012.954,33125,49966,
B560,12,2,1,2_2-1_2_firsthalf,4,1.35,36691.827,32963,47205,
B410,12,2,1,2_2-1_2_firsthalf,4,1.009,37531.412,33598,50116,
B890,12,2,2,2_2-1_2_firsthalf,4,1.992,38034.332,32283,52694,
431alpha,12,2,2,2_2-1_2_firsthalf,4,2.901,36457.14,32243,50130,
B316,12,2,2,2_2-1_2_firsthalf,4,0.6,35113.391,30406,50044,
B892_cor,12,2,2,2_2-1_2_firsthalf,4,4.564,37960.334,32865,65056,
B873,12,2,2,2_2-1_2_firsthalf,4,1.754,35468.184,1492,56549,
B818,12,2,2,2_2-1_2_firsthalf,4,3.831,36905.104,31262,53854,
B563,12,2,2,2_2-1_2_firsthalf,4,1.813,39057.546,34327,50989,contaminated
B896_cor,12,2,2,2_2-1_2_firsthalf,4,2.791,38459.616,32999,62412,
B373,12,2,2,2_2-1_2_firsthalf,4,,,,,detached
B611,12,2,2,2_2-1_2_firsthalf,4,,,,,detached
B961_cor,12,2,2,2_2-1_2_firsthalf,4,1.763,40895.194,35202,51559,
B580,12,2,2,2_2-1_2_firsthalf,4,2.279,38472.112,33061,55415,
B872,12,2,3,2_2-1_2_firsthalf,4,0.449,34631.944,31031,57198,contaminated
C242,12,2,3,2_2-1_2_firsthalf,4,1.53,38008.209,32877,46017,
B869,12,2,3,2_2-1_2_firsthalf,4,0.612,39566.333,34547,53663,
B310,12,2,3,2_2-1_2_firsthalf,4,2.357,33548.517,29586,52608,
B874,12,2,3,2_2-1_2_firsthalf,4,0.351,38509.616,34494,46805,
B313,12,2,3,2_2-1_2_firsthalf,4,2.793,36332.007,30351,47558,
B579,12,2,3,2_2-1_2_firsthalf,4,1.21,39891.367,35069,47291,
B575,12,2,3,2_2-1_2_firsthalf,4,2.946,36342.025,32585,63039,
B588,12,2,3,2_2-1_2_firsthalf,4,0.657,38279.244,33527,45770,
B896,12,2,3,2_2-1_2_firsthalf,4,1.878,40069.141,34934,49178,
B379,12,2,3,2_2-1_2_firsthalf,4,5.012,38235.644,32631,50928,
B880,12,2,3,2_2-1_2_firsthalf,4,1.59,38886.402,33638,56407,
B396,12,2,4,2_2-1_2_firsthalf,4,3.283,38180.109,33927,50699,
B905,12,2,4,2_2-1_2_firsthalf,4,0.953,36630.901,32984,49760,
B399,12,2,4,2_2-1_2_firsthalf,4,1.32,39556.368,34795,47219,
B996,12,2,4,2_2-1_2_firsthalf,4,1.846,38852.056,33519,50570,
B377,12,2,4,2_2-1_2_firsthalf,4,1.619,38860.94,34052,49243,
B587,12,2,4,2_2-1_2_firsthalf,4,1.446,38052.618,33520,46809,
B591,12,2,4,2_2-1_2_firsthalf,4,1.29,38309.159,25116,53358,contaminated
B584,12,2,4,2_2-1_2_firsthalf,4,1.673,36293.333,20898,63207,contaminated
B378,12,2,4,2_2-1_2_firsthalf,4,1.737,38264.787,33744,46157,
B997,12,2,4,2_2-1_2_firsthalf,4,0.873,35941.297,32452,53098,
B586,12,2,4,2_2-1_2_firsthalf,4,4.518,36616.605,32091,54680,
B407,12,2,4,2_2-1_2_firsthalf,4,0.589,38120.063,33234,52540,
B901_cor,12,2,5,2_2-1_2_firsthalf,4,4.391,38071.755,33760,49288,
B908_cor,12,2,5,2_2-1_2_firsthalf,4,1.327,37434.573,33494,53305,
B926,12,2,5,2_2-1_2_firsthalf,4,0.926,38364.731,34387,44729,
B832,12,2,5,2_2-1_2_firsthalf,4,0.619,40020.39,35491,54089,
B374,12,2,5,2_2-1_2_firsthalf,4,1.318,38762.511,33695,46362,
B998,12,2,5,2_2-1_2_firsthalf,4,1.748,40899.339,35173,50150,
B876,12,2,5,2_2-1_2_firsthalf,4,1.503,38044.518,33216,49634,
B383,12,2,5,2_2-1_2_firsthalf,4,1.331,34257.928,31031,50606,
B961,12,2,5,2_2-1_2_firsthalf,4,0.764,36959.142,33355,48971,
B886,12,2,5,2_2-1_2_firsthalf,4,0.683,38448.806,33907,44721,
B595,12,2,5,2_2-1_2_firsthalf,4,5.511,37660.398,30237,52905,
B354,12,2,5,2_2-1_2_firsthalf,4,2.055,35894.454,30951,53530,
Kn99,12,2,6,2_2-1_2_firsthalf,4,,,,,detached
C033,1,2,1,2_2-1_2_secondhalf,5,0.103,38005.382,34985,47066,
B377,1,2,1,2_2-1_2_secondhalf,5,0.252,38529.241,35180,45361,
B358,1,2,1,2_2-1_2_secondhalf,5,0.206,38385.042,35012,42307,
B311,1,2,1,2_2-1_2_secondhalf,5,0.385,37615.361,30149,47144,
B886_cor,1,2,1,2_2-1_2_secondhalf,5,0.226,37785.055,33633,44334,
B567,1,2,1,2_2-1_2_secondhalf,5,0.268,36379.732,33237,51589,
B927,1,2,1,2_2-1_2_secondhalf,5,0.251,38487.234,34084,43019,
B872_cor,1,2,1,2_2-1_2_secondhalf,5,0.794,38187.372,32938,58550,
B360,1,2,1,2_2-1_2_secondhalf,5,0.588,38725.308,33374,47397,
B873_cor,1,2,1,2_2-1_2_secondhalf,5,0.123,40021.111,34448,50071,
B553,1,2,1,2_2-1_2_secondhalf,5,0.101,39836.2,35662,45886,
B366,1,2,1,2_2-1_2_secondhalf,5,0.169,37541.18,34517,46051,
B356,1,2,2,2_2-1_2_secondhalf,5,0.431,38509.62,34337,45351,
C031_cor,1,2,2,2_2-1_2_secondhalf,5,0.154,39444.714,34280,52186,
B950,1,2,2,2_2-1_2_secondhalf,5,0.184,38583.385,34409,41552,
C029_cor,1,2,2,2_2-1_2_secondhalf,5,0.487,38330.934,33220,44786,
