Strain,Replicate,Day,Area,Mean,Min,Max,cleared,plate_coverage,age
39,1,3,0.455,19867.913,120,65534,1,,
38,2,3,0.266,18745.524,18053,25506,1,,
38,1,3,0.333,19194.544,18635,28040,1,,
31,2,4,0.535,18616.074,18174,26171,1,,
31,1,4,0.693,18683.799,18205,26069,1,,
30,2,4,0.434,18656.159,18206,25255,1,,
30,1,4,0.65,18694.936,17977,26761,1,,
47,2,4,0.181,20104.395,19298,25609,0,,
47,1,4,0.405,20187.702,18036,27165,0,,
46,2,4,1.156,19675.439,16320,28337,0,,
46,1,4,0.379,19343.556,18269,27445,1,,
39,2,4,0.396,18545.82,16925,26807,1,,
39,1,4,0.567,18839.533,17910,26971,1,,
38,2,4,0.36,18725.068,17916,25173,1,,
38,1,4,0.419,19125.678,18583,27060,1,,
31,2,5,0.873,18630.241,18065,25968,1,,
31,1,5,0.944,18734.681,18195,25503,1,,
30,2,5,0.61,18678.56,18156,25342,1,,
30,1,5,0.777,18684.275,17942,25318,1,,
47,2,5,0.316,20419.715,19199,30334,0,,
47,1,5,0.511,20076.251,18098,28169,0,,
46,2,5,1.177,19581.406,3,65530,0,,
46,1,5,0.461,19164.918,18203,27129,1,,
39,2,5,0.507,18526.736,16955,26257,1,,
39,1,5,0.675,18788.731,17845,27139,1,,
38,2,5,0.546,18744.269,17818,25128,1,,
38,1,5,0.526,19102.028,18617,26715,1,,
31,2,6,1.67,18626.027,17965,30747,1,,
31,1,6,1.499,18806.251,18129,26553,1,,
30,2,6,1.031,18735.074,18029,26242,1,,
30,1,6,1.016,18673.976,17763,25928,1,,
47,2,6,0.435,20365.715,19262,29684,0,,
47,1,6,0.54,19944.473,12944,27902,0,,
46,2,6,1.357,19182.753,16432,27244,0,,
46,1,6,0.573,19101.138,17938,26840,1,,
39,2,6,0.744,18615.988,16806,26130,1,,
39,1,6,0.839,18819.75,17790,26477,1,,
38,2,6,0.955,18795.922,17637,26506,1,,
38,1,6,0.7,19141.201,18622,24835,1,,
31,2,7,2.777,33746.047,3,65530,1,,
31,1,7,2.309,34268.418,30320,53948,1,,
30,2,7,1.638,34139.063,30106,50807,1,,
30,1,7,1.379,33960.435,59,65534,1,,
47,2,7,0.597,37463.027,33326,65535,0,,
47,1,7,0.645,36381.978,30413,58489,0,,
46,2,7,1.524,34875.106,26712,52803,0,,
46,1,7,0.691,34669.159,3,65530,1,,
39,2,7,1.176,33951.161,29387,52553,1,,
39,1,7,1.077,34408.523,30295,52930,1,,
38,2,7,1.541,34362.544,30779,53519,1,,
38,1,7,0.959,34769.885,3,65533,1,,
31,2,8,4.267,33853.793,12,65535,1,,
31,1,8,3.457,34401.352,3,65534,1,,
30,2,8,2.458,34193.037,3,65534,1,,
30,1,8,1.977,34486.039,3,65530,1,,
47,2,8,0.7,37407.153,31023,55925,0,,
47,1,8,0.761,36385.153,30478,63927,0,,
46,2,8,1.685,34872.723,26835,53598,0,,
46,1,8,0.825,34910.698,30699,51934,1,,
39,2,8,1.952,34083.723,3,65533,1,,
39,1,8,1.472,34365.589,24,65526,1,,
38,2,8,2.333,34413.214,4,65526,1,,
38,1,8,1.357,34898.33,7,65533,1,,
31,2,9,6.276,33879.105,3,65535,1,,
31,1,9,5.251,34546.401,24,65534,1,,
30,2,9,3.62,34278.454,27,65535,1,,
30,1,9,2.829,34719.4,3,65534,1,,
47,2,9,0.773,37374.639,31591,65535,0,,
47,1,9,0.881,36448.123,30313,57162,0,,
46,2,9,1.807,34910.771,28933,55089,1,,
46,1,9,1.042,34961.239,30229,51644,1,,
39,2,9,3.097,34398.802,59,65490,1,,
39,1,9,2.198,34829.313,8,65510,1,,
38,2,9,3.482,34645.708,3,65535,1,,
38,1,9,1.966,35152.48,43,65533,1,,
31,2,10,7.918,33895.898,22836,65535,1,,
31,1,10,6.95,34935.547,18408,57312,1,,
30,2,10,4.77,34525.365,28227,65535,1,,
30,1,10,3.752,35167.182,30192,65535,1,,
47,2,10,0.863,37605.013,31853,65535,0,,
47,1,10,0.991,36724.519,28541,57342,0,,
46,2,10,2,35282.176,26262,57440,1,,
46,1,10,1.289,35397.901,29848,53088,1,,
39,2,10,4.311,34718.427,28470,59194,1,,
39,1,10,3.08,35251.736,31082,51780,1,,
38,2,10,4.644,34919.833,28495,65535,1,,
38,1,10,2.628,35356.803,31534,61046,1,,
31,2,11,8.59,33849.668,7741,65535,1,,
31,1,11,8.101,34870.99,13945,65060,1,,
30,2,11,6.204,34589.685,26993,54804,1,,
30,1,11,4.829,35189.419,29423,53497,1,,
47,2,11,0.914,37328.775,31664,65535,0,,
47,1,11,1.067,36517.074,12,65513,0,,
