"";"Strains";"Replicate";"Day";"Area";"Mean";"Min";"Max";"cleared";"plate_coverage";"age";"date"
"208";"40";1;6;0,162;20925,192;19379;28268;0;NA;NA;"10_29_2019"
"209";"43";2;6;1,492;19510,8;17786;29122;1;NA;NA;"10_29_2019"
"210";"43";1;6;1,088;19221,845;18278;25790;1;NA;NA;"10_29_2019"
"211";"42";2;6;1,338;18840,369;18065;26253;1;NA;NA;"10_29_2019"
"212";"42";1;6;1,208;18931,152;18166;26780;1;NA;NA;"10_29_2019"
"213";"45";2;6;0,618;19717,863;18420;26471;0;NA;NA;"10_29_2019"
"214";"45";1;6;0,483;22876,991;18407;32267;0;NA;NA;"10_29_2019"
"215";"44";2;6;0,491;19408,186;18584;27699;1;NA;NA;"10_29_2019"
"216";"44";1;6;0,507;19347,402;18544;27894;1;NA;NA;"10_29_2019"
"217";"41";2;7;1,31;18843,067;18107;26172;1;NA;NA;"10_29_2019"
"218";"41";1;7;0,848;19064,57;18328;26090;1;NA;NA;"10_29_2019"
"219";"40";2;7;0,369;19250,03;18382;22208;1;NA;NA;"10_29_2019"
"220";"40";1;7;0,167;20914,804;19267;27677;0;NA;NA;"10_29_2019"
"221";"43";2;7;2,408;19649,955;17764;29711;0;NA;NA;"10_29_2019"
"222";"43";1;7;1,571;19335,295;18302;26571;0;NA;NA;"10_29_2019"
"223";"42";2;7;2,14;18924,49;18048;26295;1;NA;NA;"10_29_2019"
"224";"42";1;7;1,843;18991,549;18067;27465;1;NA;NA;"10_29_2019"
"225";"45";2;7;0,722;19692,824;18553;26675;0;NA;NA;"10_29_2019"
"226";"45";1;7;0,522;22839,758;18115;32610;0;NA;NA;"10_29_2019"
"227";"44";2;7;0,66;19356,636;18656;25707;1;NA;NA;"10_29_2019"
"228";"44";1;7;0,641;19346,138;18441;27041;1;NA;NA;"10_29_2019"
"229";"41";2;8;1,92;34246,145;30794;51605;1;NA;NA;"10_29_2019"
"230";"41";1;8;1,112;34936,134;31655;54175;1;NA;NA;"10_29_2019"
"231";"40";2;8;0,4;35155,813;31999;45106;1;NA;NA;"10_29_2019"
"232";"40";1;8;0,167;38913,092;34126;51577;0;NA;NA;"10_29_2019"
"233";"43";2;8;3,623;36251,25;35;65535;0;NA;NA;"10_29_2019"
"234";"43";1;8;2,389;35446,31;31430;51060;0;NA;NA;"10_29_2019"
"235";"42";2;8;3,347;34577,282;30843;56494;1;NA;NA;"10_29_2019"
"236";"42";1;8;2,772;34787,462;30796;52939;1;NA;NA;"10_29_2019"
"237";"45";2;8;0,882;36031,795;31958;52481;0;NA;NA;"10_29_2019"
"238";"45";1;8;0,603;41916,215;31877;62278;0;NA;NA;"10_29_2019"
"239";"44";2;8;0,854;35235,851;32218;47554;1;NA;NA;"10_29_2019"
"240";"44";1;8;0,817;35255,577;30104;52638;1;NA;NA;"10_29_2019"
"241";"41";2;9;2,8;34380,901;30703;49919;1;NA;NA;"10_29_2019"
"242";"41";1;9;1,382;35090,577;31398;65535;1;NA;NA;"10_29_2019"
"243";"40";2;9;0,491;35431,888;31993;46750;0;NA;NA;"10_29_2019"
